,target,account,affiliated
649,Hillary Clinton,c5hardtop1999,False
650,Hillary Clinton,surfermom77,False
651,Hillary Clinton,SMolloyDVM,False
652,Hillary Clinton,RNRNewYork,False
653,Hillary Clinton,BossHoggUSMC,False
654,Hillary Clinton,JohnFromCranber,False
655,Hillary Clinton,SheriffClarke,False
656,Hillary Clinton,jhewitt1280,False
657,Hillary Clinton,SpeakerBoehner,False
658,Hillary Clinton,HouseBenghazi,False
659,Hillary Clinton,TGowdySC,False
660,Hillary Clinton,AutumnNAlston,False
661,Hillary Clinton,JonathanDKF,False
662,Hillary Clinton,McCollumMike,False
663,Hillary Clinton,HillaryforSC,True
664,Hillary Clinton,hughhewitt,False
665,Hillary Clinton,msnbc,False
666,Hillary Clinton,RobBently,False
667,Hillary Clinton,JonahNRO,False
668,Hillary Clinton,maddow,False
669,Hillary Clinton,AnnCoulter,False
670,Hillary Clinton,MrDane1982,False
671,Hillary Clinton,mizerello,False
672,Hillary Clinton,meetthepress,False
673,Hillary Clinton,GovernorPerry,False
674,Hillary Clinton,AnitaFinlay,False
675,Hillary Clinton,chicagotribune,False
676,Hillary Clinton,betheljd,False
677,Hillary Clinton,Network_Citizen,False
678,Hillary Clinton,YoungBLKRepub,False
679,Hillary Clinton,bobwilsonn,False
680,Hillary Clinton,kin2souls,False
681,Hillary Clinton,ChristiChat,False
682,Hillary Clinton,RedStateJake,False
683,Hillary Clinton,ResistTyranny,False
684,Hillary Clinton,weknowwhatsbest,False
685,Hillary Clinton,randyprine,False
686,Hillary Clinton,fabiaceae,False
687,Hillary Clinton,Shy_Buffy,False
688,Hillary Clinton,FrankCraig,False
689,Hillary Clinton,skzdalimit,False
